address,balance,,
0x50ed6500e5e0e4ca1cf8f7006c4a4ebc469c82e1,0.043741596,,
0xe8995f9f598f82a14afb22dbcd07d87e93c7e47e,4.23E-05,,
0xb017f9f648838363ce6ac7a6afe3900511c62021,0.016205096,,
0xd79ac194aa7da730052cc14b41a173bc4b4f1b68,0.00162388,,
0x9da1591ead5a59a9ccc60b98e82855547328cf86,2.0045514,,
0x00f006f3968409c6072299341eed38ee127eebf0,0.133171281,,
0xf6d0f42b37a3a4dcc746b4e2cb1ffb64d6820909,0.000128904,,
0xa9241be4b345b6b5f533d1fd881ffd92bc128476,0,,
0x6196db9aa72146c0f01c57370509cb65103dda32,0.014268688,,
0x7dcec9bdbb840829f6e1709f726b7c95133c5573,0.031244105,,
0x04a5e8c4a44780d115adda776b04bcf1c4f3254e,0.029906038,,
0x3286db24e9d69ba3b9c74734779ea87b80f93ba6,0.000158957,,
0x8980622bdf42abfc9cf1011a51b58a40df115e83,0.007325484,,
0x4736503fa1e5a5353673d46ddd3baa5697895468,0.009743651,,
0xf595a616980398865554e025eb9204a1561b3057,0.000508711,,
0xbc5610c4d094a954ddbef9cdd1d5a2ab2d128fdc,0.266056456,,
0xc0b9c3c9890ff4b7b5264d36c911781890a9b32f,0.027323545,,
0x054eaa6d78d284ff0693945f315c471e74d69129,0.195546229,,
0xa8f1f29fd3ad46bd779da7608066d7de3f9dfcff,0.288612068,,
0x3d5ec1e81b761f49a4916c0ba076a0ca2ae31916,1.491174398,,
0xb1face3fcc5bbccb2a34ba130cc2be5240d833e9,0.000165549,,
0x8bbbae7caa676537b9ab18b2ce8c5d8f9f20c040,0.488243355,,
0xa3a5d60061a0aee7f0dab1a779d8c4d18e964020,0.660439354,,
0x375551a1e0256040c094204379f1c819bce3e44a,0.099718564,,
0x29c9fb2c1d9635412d76db146c3f04762222b469,0.000131711,,
0xbbc5aea1689f4ed4e9a6c3621cc3462b0a8fdedd,78.71027434,,
0x8076ead019a24642b46707c28c1ca00a0ba6d19d,0.000138825,,
0xb0b17d5ae7e6c47ee65239e22d4746a39d2fe0e9,0.040951973,,
0x94f4cd6943480f3b03d7f92f89586c37198a049f,0.069804295,,
0x384b0047c523c0deb53b4450e5ec697a01789a00,1.63E-05,,
0x399aaf2d4793a5d4edffb3997289e2e9891e4936,0.00042702,,
0xd9aef4b39f5c4781ec87f02ef6aba091e4fd0fed,0.01643719,,
0x715511e8c4de9ba9cc80db735ff089dabafc8d36,0.002726917,,
0x48513224a50c339d23484c9cd4a95dab5a9e8862,0.013266116,,
0x03ef490d7befbe0fbb1e56af9f4cda3a7f8a7e28,1.36682463,,
0x97514adc2a161e3611bcd4dea0ee6fd5e1be8429,0.152147509,,
0x5f775f36adad1b4b1b6fd474df82f1a4c62aa926,0.059482495,,
0xff17eeb738e9aeee448a7fc601fca09498832eda,0.038468388,,
0xfd85dd30e9c763b54a09a9198aa2c36af917620a,0.000567603,,
0xfeda8ff60db6f29a752d67145ed0937de4a8f768,1.116519734,,
0xaf31489e4788cd101f1072076fd3b9a994c8e9d3,0.112066722,,
0xb07987354aec00bf5fdcca15506517c27bbb6a11,0.000202559,,
0x741e65cee534965addc3b765c6ed8d5683fd81ec,2.406388041,,
0x509cb526cc6b99c451668ca902e053db55de724e,0.000445624,,
0xdcc88c4fdc45012d9057434c048ebed07ee9aaed,2.731784266,,
0xeec483dab92b5a91ddeb39f76abdc0476b189f42,0.002077049,,
0xb32aaec422996ca4fcc5366f1d9f8933dc5d61ab,7.093553148,,
0xa6c0f7bde119930fb919ed02f8155887ecf0d756,0.579723215,,
0xd37eb0bcc95656d0d36b922e9515c2ab66fc00b5,0.019657409,,
0x1a9fa2427ff8230936b60dac9de88df6b7c20940,1.352010978,,
0xcddbbefb8fb30283974dd71e9f43a35e7d77c93e,0.001098396,,
0x9929f19fbc8aa9f1cfeb0f7d62b0526023f01752,4.531650241,,
0xdc0ac7f722151d2840014c483439c8ded861d357,0.208867204,,
0x5744837fd1130e55f165788f4d7d9c4a6e1ba1ea,0.026909741,,
0xce79540828a32fcf5ed68a5492c64ea146ce82a4,0.003033856,,
0x2c870030ae033435798fb7bca6d404151a1d6803,0.101547365,,
0x70411791a13066b18cb762f8ac3e076b6edaaf25,0.177741028,,
0xd29b829624b80caa8e8303667b1b7f556960d906,0.063012475,,
0xc5c085710a9ccb18b7291a231f61925633e0c63b,0.296017645,,
0xca4b63802f097cb4fb36530b0e26e75b890445f5,0.005436799,,
0x46ef0a0c27c88895d6fc193378922f4607f6054f,0.052921776,,
0x2fd9f39ea3d7c190eace03744541b812d0118463,0.014,,
0x10507db1ed9ed1ca12154489ddf74d686dcb263e,0.083507793,,
0x5d6f3d0c92d0564151357b0863e55e9ed4631b8d,0.011581602,,
0xe90ef2a027da10e4491dfab58971ae0a0f93cab5,1.54999762,,
0x7fd3b7295edbedd49fe3dd517b9eb9fec28fe084,0.000721786,,
0x672d7c6938b016ecc84169ab4f39c2dc64749f1c,0.002442842,,
0xa162cf562be0c029083c1e47d6fd33c395970fb0,0.043657805,,
0x3b1c4b9d578015292cb30b922b97007b96f449e3,1,,
0x007caa866920feec23e4d8937b051c8161784cfd,0.037033081,,
0xbebf17da8583ae4a4e060c5b5b35d079390727c4,0.707201094,,
0xa1764d04311b3b82ced9989fe89a4d3302777350,0.001367372,,
0x1b9ecd1f7f613725f7a4dc761670a20a47ef1e6d,0.084980841,,
0x5c59070be15042bc778bb7ced1693a86569f7935,0.044323545,,
0x571b874921f5fdcef01d9779206c175e07ebffae,5.49E-05,,
0x40e11b2b7ed8ae0e03258478dcee9dd7697cc71e,0.085581691,,
0x647a62100d63d5e017c6fe0b9a14518aba25ccf0,0.062307131,,
0x5a7321783c375132774baa9c699ca572cafbd06d,1.396548189,,
0xbbf3eca24367c0b99ac2ff7466a752f1c3282189,0.577766092,,
0x4d89212338864d78a6555ced98fefcc42b177638,0.028069802,,
0x2eb1663d43de6f5bb5ef25c7fb01c0786d988ff4,0.000215955,,
0x8f80737840917584d5bf4d8653a23d71fd92c3cf,0.009648971,,
0x1833b4ca23f2d759affd8509d63ba22b90d8cabb,0.004824829,,
0x7f314be00306b7ce9b186f437574e52b5dfb384c,2.874906514,,
0x00525e687bfa4414f031b262707d9da6a6de7b04,0,,
0xc9cf2afd5d29aedba89a4fe7310e8ba7c49637e4,0.502493093,,
0xd841d14773a2e79629615929f3150875e94a80dc,0.000225092,,
0x48d9e02d36b18a7b180ac3e6717250b622693d46,0.091737251,,
0x64ebfbe3cb256c775e8975f9ba4c37bad6cfec10,0,,
0x6cdf45b2cbcd76e2afc1d730eee3505497e7f8b5,0,,
0x2acddd136d89a97252a014487d369cd6d4a0e1ed,0.007366809,,
0x12d5cae401268d459484eb4a00c55fa6acc73398,0.548777683,,
0x9497524b644ebd850d25be5471debc633cd684fb,0.000470672,,
