nft_address,block,from_addr,to_addr,token_id,tx_hash,value,timestamp,usd_value,eth_value,exchange,txn_hash_idx
0x0aa7420c43b8c1a7b165d216948870c8ecfe1ee1,13792665,0x0000000000000000000000000000000000000000,0xc0509a3ce4225410c94029c3834e493b9d7e89f2,5289,0x151033043b9748b1e6872bce6f620b68b6a1816c8ac4e5ed566e6f08ff89cef6,0.1,1639342862,,,,
0x0aa7420c43b8c1a7b165d216948870c8ecfe1ee1,13792614,0x99cc2f1c2dccf0bb8eeb3443ab6a21aa36f2101e,0x54489a3d085b1501573651095a3138f8cf207730,3063,0x240285cf8860eb46240cb732b4da8fe5a0fec97091325f1eacb714cf15d8abe8,0.175,1639342168,726.92,0.175,Opensea,0
0x0aa7420c43b8c1a7b165d216948870c8ecfe1ee1,13792614,0xf02692a0a1c848658f176286a8cbf75010a9090b,0xcde9583050e7128b890ca5ef9bf8be805b57f1fe,4276,0x0e20c69464494fd2650f6ab27a2ada6b1a63094469262a2cbbe476adfc438537,0.1749,1639342168,726.5,0.1749,Opensea,0
0x0aa7420c43b8c1a7b165d216948870c8ecfe1ee1,13792615,0x0000000000000000000000000000000000000000,0x403c83613e0a76d7193fb92250026a0f66f76599,5272,0xe0e8bbf6d76c743f0e8129316a3210bcbcc48defe8498c3fbb5ca365c60cbdb1,0.2,1639342204,,,,
0x0aa7420c43b8c1a7b165d216948870c8ecfe1ee1,13792615,0x0000000000000000000000000000000000000000,0x403c83613e0a76d7193fb92250026a0f66f76599,5273,0xe0e8bbf6d76c743f0e8129316a3210bcbcc48defe8498c3fbb5ca365c60cbdb1,0.2,1639342204,,,,
0x0aa7420c43b8c1a7b165d216948870c8ecfe1ee1,13792615,0x2bdaf977f02001cadeed3479f946cf1d13b09a60,0x54489a3d085b1501573651095a3138f8cf207730,132,0x2092378c177b2c26684f36776ad89beb1dc0aeadb426f829b8824166cc1c42aa,0.175,1639342204,726.92,0.175,Opensea,0
0x0aa7420c43b8c1a7b165d216948870c8ecfe1ee1,13792568,0x477a85249125cdf871225cf9b2cda745882288b0,0xd146a4f01517e3b8eda88e277ae5e9a1469bd2cc,5256,0xbbd6d5e7b7a12ae60268d1a63d74f005481232c1da2f9d7de2c025350ff0ef55,0,1639341584,,,,
0x0aa7420c43b8c1a7b165d216948870c8ecfe1ee1,13792617,0xfa279677460f7a48797328704cf6e1de0d497b7d,0x54489a3d085b1501573651095a3138f8cf207730,5239,0x811a77ccb06fb71f72ebc7c11e9d9f08a802a35da6bfa314e5e8612344d003a7,0.177,1639342236,735.22,0.177,Opensea,0
0x0aa7420c43b8c1a7b165d216948870c8ecfe1ee1,13792617,0x0000000000000000000000000000000000000000,0x534bcd482dd8d5118d8fb6581cb6485d131c74d6,5274,0x9d232bb85270238ba5bc9b24b3916c7e382d69896243fdc174393574226ae72d,0.2,1639342236,,,,
0x0aa7420c43b8c1a7b165d216948870c8ecfe1ee1,13792617,0x0000000000000000000000000000000000000000,0x534bcd482dd8d5118d8fb6581cb6485d131c74d6,5275,0x9d232bb85270238ba5bc9b24b3916c7e382d69896243fdc174393574226ae72d,0.2,1639342236,,,,
